rank,word,freq,cum_pct,region,root
1,yang,0,0,R1,
2,dan,0,0,R1,
3,di,0,0,R1,
4,itu,0,0,R1,
5,dengan,0,0,R1,
6,ini,0,0,R1,
7,untuk,0,0,R1,
8,tidak,0,0,R1,
9,dari,0,0,R1,
10,dalam,0,0,R1,
11,akan,0,0,R1,
12,pada,0,0,R1,
13,juga,0,0,R1,
14,saya,0,0,R1,
15,ke,0,0,R1,
16,ada,0,0,R1,
17,adalah,0,0,R1,
18,kamu,0,0,R1,
19,bisa,0,0,R1,
20,sudah,0,0,R1,
21,mau,0,0,R1,
22,apa,0,0,R1,
23,orang,0,0,R1,
24,kita,0,0,R1,
25,dia,0,0,R1,
26,tahu,0,0,R1,
27,mereka,0,0,R1,
28,kalau,0,0,R1,
29,belum,0,0,R1,
30,lagi,0,0,R1,
31,harus,0,0,R1,
32,bagaimana,0,0,R1,
33,karena,0,0,R1,
34,hanya,0,0,R1,
35,lebih,0,0,R1,
36,baik,0,0,R1,
37,masih,0,0,R1,
38,sangat,0,0,R1,
39,tapi,0,0,R1,
40,seperti,0,0,R1,
41,makan,0,0,R1,makan
42,pergi,0,0,R1,pergi
43,datang,0,0,R1,datang
44,melihat,0,0,R1,lihat
45,bekerja,0,0,R1,kerja
46,belajar,0,0,R1,ajar
47,membaca,0,0,R2,baca
48,menulis,0,0,R2,tulis
49,berbicara,0,0,R2,bicara
50,tinggal,0,0,R2,tinggal
